YEAR,LOCATION_CODE,REACH,STRATUM,EF_EFFORT,SPECIES,NUMBER,LENGTH,WEIGHT
2020,20I6.1HEN,I06,SCB,15,BLG,1,145,67
2020,20I6.1HEN,I06,SCB,15,BLG,1,105,22
2020,20I6.1HEN,I06,SCB,15,BLG,4,40,
2020,20I6.1HEN,I06,SCB,15,GOS,1,116,18
2020,20I6.1HEN,I06,SCB,15,BLG,1,191,166
2020,20I6.1HEN,I06,SCB,15,LMB,1,285,379
2020,20I6.1HEN,I06,SCB,15,BLG,2,80,
2020,20I6.1HEN,I06,SCB,15,BLG,2,70,
2020,20I6.1HEN,I06,SCB,15,BLG,8,60,
2020,20I6.1HEN,I06,SCB,15,BLG,1,50,
2020,20I6.1HEN,I06,SCB,15,LMB,1,230,169
2020,20I6.1HEN,I06,SCB,15,EMS,3,70,
2020,20I6.1HEN,I06,SCB,15,EMS,8,60,
2020,20I6.1HEN,I06,SCB,15,EMS,1,50,
2020,20I6.1HEN,I06,SCB,15,ORS,2,50,
2020,20I6.1HEN,I06,SCB,15,GZS,2,50,
2020,20I6.1HEN,I06,SCB,15,GZS,3,40,
2020,20I6.1HEN,I06,SCB,15,SFS,4,50,
2020,20I6.1HEN,I06,SCB,15,SFS,1,60,
2020,20I6.1HEN,I06,SCB,15,SPS,2,30,
2020,20I6.1HEN,I06,SCB,15,SPS,3,40,
2020,20I6.1HEN,I06,SCB,15,LMB,1,271,316
2020,20I6.1HEN,I06,SCB,15,CCF,1,155,24
2020,20I6.1HEN,I06,SCB,15,BLG,1,111,26
2020,20I6.1HEN,I06,SCB,15,LMB,1,184,89
2020,20I6.1HEN,I06,SCB,15,LOP,1,30,
2020,20I6.1HEN,I06,SCB,15,BLG,2,80,
2020,20I6.1HEN,I06,SCB,15,SFS,1,50,
2020,20I6.1HEN,I06,SCB,15,SFS,1,40,
2020,20I6.1HEN,I06,SCB,15,EMS,1,40,
2020,20I6.1HEN,I06,SCB,15,EMS,8,30,
2020,20I6.1HEN,I06,SCB,15,EMS,3,20,
2020,20I6.1HEN,I06,SCB,15,EMS,1,10,
2020,20I6.1HEN,I06,SCB,15,TRP,1,40,
2020,20I6.1HEN,I06,SCB,15,BLD,1,40,
2020,20I4.1R03,I04,MCB-U,15,LOG,1,384,94
2020,20I4.1R03,I04,MCB-U,15,SHR,1,260,179
2020,20I4.1R03,I04,MCB-U,15,SMB,1,115,17
2020,20I4.1R03,I04,MCB-U,15,SMB,1,125,30
2020,20I4.1R03,I04,MCB-U,15,SMB,1,148,36
2020,20I4.1R03,I04,MCB-U,15,SMB,1,226,144
2020,20I4.1R03,I04,MCB-U,15,GOR,1,229,120
2020,20I4.1R03,I04,MCB-U,15,SMB,1,315,348
2020,20I4.1R03,I04,MCB-U,15,SMB,1,104,14
2020,20I4.1R03,I04,MCB-U,15,LOP,1,90,
2020,20I4.1R03,I04,MCB-U,15,LOG,1,60,
2020,20I4.1R03,I04,MCB-U,15,SFS,10,50,
2020,20I4.1R03,I04,MCB-U,15,SFS,5,60,
2020,20I4.1R03,I04,MCB-U,15,BLS,2,50,
2020,20I4.1R03,I04,MCB-U,15,BLS,4,40,
2020,20I4.1R03,I04,MCB-U,15,BUM,6,40,
2020,20I4.1R03,I04,MCB-U,15,BUM,3,50,
2020,20I4.1R03,I04,MCB-U,15,BUM,2,60,
2020,20I4.1R03,I04,MCB-U,15,BLS,1,60,
2020,20I4.1R03,I04,MCB-U,15,SAS,64,40,
2020,20I4.1R03,I04,MCB-U,15,SAS,17,30,
2020,20I4.1R03,I04,MCB-U,15,LMB,1,30,
2020,20I4.1R03,I04,MCB-U,15,EMS,1,70,
2020,20I4.1R03,I04,MCB-U,15,BUM,4,70,
2020,20I4.1R03,I04,MCB-U,15,BUM,3,30,
2020,20I4.1R03,I04,MCB-U,15,RVS,3,40,
2020,20I4.1R03,I04,MCB-U,15,SAS,5,50,
2020,20I4.1R03,I04,MCB-U,15,SFS,2,80,
2020,20I4.1R03,I04,MCB-U,15,EMS,2,60,
2020,20I4.1R03,I04,MCB-U,15,BLS,1,30,
2020,20I4.1R03,I04,MCB-U,15,SFS,1,70,
2020,20I4.1R03,I04,MCB-U,15,SFS,6,40,
2020,20I4.1R03,I04,MCB-U,15,SFS,11,30,
2020,20I4.1R03,I04,MCB-U,15,SMB,1,20,
2020,20I4.1R03,I04,MCB-U,15,EMS,1,30,
2020,20I4.1R03,I04,MCB-U,15,ROG,1,20,
2020,20I7.1PEK,I07,SCB,15,SAB,1,577,3227
2020,20I7.1PEK,I07,SCB,15,SAB,1,443,1913
2020,20I7.1PEK,I07,SCB,15,SAB,1,458,1347
2020,20I7.1PEK,I07,SCB,15,LMB,1,202,123
2020,20I7.1PEK,I07,SCB,15,SAB,1,419,1326
2020,20I7.1PEK,I07,SCB,15,WHB,1,283,309
2020,20I7.1PEK,I07,SCB,15,WHB,1,208,124
2020,20I7.1PEK,I07,SCB,15,FRD,1,169,60
2020,20I7.1PEK,I07,SCB,15,FRD,1,144,39
2020,20I7.1PEK,I07,SCB,15,BLG,1,137,60
2020,20I7.1PEK,I07,SCB,15,GSF,1,100,18
2020,20I7.1PEK,I07,SCB,15,BLG,1,50,
2020,20I7.1PEK,I07,SCB,15,BLG,1,70,
2020,20I7.1PEK,I07,SCB,15,BLG,1,40,
2020,20I7.1PEK,I07,SCB,15,FRD,1,193,79
2020,20I7.1PEK,I07,SCB,15,FRD,1,421,1069
2020,20I7.1PEK,I07,SCB,15,FRD,1,150,39
2020,20I7.1PEK,I07,SCB,15,FRD,1,143,37
2020,20I7.1PEK,I07,SCB,15,SAR,1,247,116
2020,20I7.1PEK,I07,SCB,15,LMB,1,181,88
2020,20I7.1PEK,I07,SCB,15,FRD,1,112,14
2020,20I7.1PEK,I07,SCB,15,BLG,1,60,
2020,20I7.1PEK,I07,SCB,15,MOF,1,40,
2020,20I7.1PEK,I07,SCB,15,LMB,1,176,78
2020,20I7.1PEK,I07,SCB,15,WHB,1,240,190
2020,20I7.1PEK,I07,SCB,15,CAP,1,246,228
2020,20I7.1PEK,I07,SCB,15,BUM,1,60,
2020,20I7.1PEK,I07,SCB,15,BUM,1,50,
2020,20I7.1PEK,I07,SCB,15,SPS,7,20,
2020,20I7.1PEK,I07,SCB,15,SPS,2,30,
2020,20I7.1PEK,I07,SCB,15,SVS,1,90,
2020,20I7.1PEK,I07,SCB,15,SVS,1,80,
2020,20I7.1PEK,I07,SCB,15,SVS,1,70,
2020,20I7.1PEK,I07,SCB,15,SVS,1,60,
2020,20I7.1PEK,I07,SCB,15,GRC,1,455,1215
2020,20I7.1PEK,I07,SCB,15,CAP,1,415,1089
2020,20I7.1PEK,I07,SCB,15,CAP,1,534,1957
2020,20I7.1PEK,I07,SCB,15,CAP,1,568,2714
2020,20I7.1PEK,I07,SCB,15,GRC,1,716,4372
2020,20I7.1PEK,I07,SCB,15,CAP,1,510,1800
2020,20I7.1PEK,I07,SCB,15,SCP,1,397,610
2020,20I7.1PEK,I07,SCB,15,BLG,1,80,
2020,20I7.1PEK,I07,SCB,15,FRD,1,184,80
2020,20I7.1PEK,I07,SCB,15,FRD,1,167,59
2020,20I7.1PEK,I07,SCB,15,GOR,1,244,155
2020,20I7.1PEK,I07,SCB,15,ORS,1,40,
2020,20I7.1PEK,I07,SCB,15,WHB,6,20,
2020,20I7.1PEK,I07,SCB,15,WHB,12,30,
2020,20I7.1PEK,I07,SCB,15,WHB,1,40,
2020,20I7.1PEK,I07,SCB,15,GZS,5,20,
2020,20I7.1PEK,I07,SCB,15,EMS,11,10,
2020,20I7.1PEK,I07,SCB,15,EMS,3,20,
2020,20I7.1PEK,I07,SCB,15,SPS,4,20,
2020,20I7.1PEK,I07,SCB,15,UCT,1,40,
2020,20I7.1PEK,I07,SCB,15,UCT,1,30,
2020,20I7.1PEK,I07,SCB,15,UCT,1,30,
2020,20I7.1PEK,I07,SCB,15,UCT,1,40,
2020,20I8.1MOR,I08,SCB,15,BGB,1,315,534
2020,20I8.1MOR,I08,SCB,15,BGB,1,328,567
2020,20I8.1MOR,I08,SCB,15,BGB,1,312,490
2020,20I8.1MOR,I08,SCB,15,LMB,1,212,119
2020,20I8.1MOR,I08,SCB,15,BLG,1,154,73
2020,20I8.1MOR,I08,SCB,15,BLG,1,138,63
2020,20I8.1MOR,I08,SCB,15,SAB,1,172,79
2020,20I8.1MOR,I08,SCB,15,GZS,1,170,
2020,20I8.1MOR,I08,SCB,15,BLG,1,70,
2020,20I8.1MOR,I08,SCB,15,RES,1,60,
2020,20I8.1MOR,I08,SCB,15,GZS,8,50,
2020,20I8.1MOR,I08,SCB,15,GZS,8,40,
2020,20I8.1MOR,I08,SCB,15,GZS,3,30,
2020,20I8.1MOR,I08,SCB,15,BLG,2,20,
2020,20I8.1MOR,I08,SCB,15,SAR,1,310,216
2020,20I8.1MOR,I08,SCB,15,BOW,1,569,1745
2020,20I8.1MOR,I08,SCB,15,LMB,1,80,
2020,20I8.1MOR,I08,SCB,15,GZS,1,194,
2020,20I8.1MOR,I08,SCB,15,BLG,1,152,81
2020,20I8.1MOR,I08,SCB,15,GZS,1,167,
2020,20I8.1MOR,I08,SCB,15,RVC,1,313,420
2020,20I8.1MOR,I08,SCB,15,BGB,1,340,655
2020,20I8.1MOR,I08,SCB,15,LMB,1,40,
2020,20I8.1MOR,I08,SCB,15,ORS,1,60,
2020,20I8.1MOR,I08,SCB,15,FCF,1,308,304
2020,20I8.1MOR,I08,SCB,15,GZS,1,153,
2020,20I8.1MOR,I08,SCB,15,SCP,1,358,404
2020,20I8.1MOR,I08,SCB,15,SCP,1,630,2488
2020,20I8.1MOR,I08,SCB,15,SCP,1,596,1968
2020,20I8.1MOR,I08,SCB,15,SCP,1,598,2114
2020,20I8.1MOR,I08,SCB,15,SCP,1,600,2038
2020,20I8.1MOR,I08,SCB,15,SCP,1,588,1859
2020,20I8.1MOR,I08,SCB,15,SCP,1,628,2311
2020,20I8.1MOR,I08,SCB,15,SCP,1,810,6200
2020,20I8.1MOR,I08,SCB,15,EMS,8,20,
2020,20I8.1MOR,I08,SCB,15,EMS,7,30,
2020,20I6.1R10,I06,MCB-U,15,SHG,1,470,338
2020,20I6.1R10,I06,MCB-U,15,FRD,1,450,1283
2020,20I6.1R10,I06,MCB-U,15,FRD,1,275,267
2020,20I6.1R10,I06,MCB-U,15,GZS,1,266,173
2020,20I6.1R10,I06,MCB-U,15,FRD,1,241,158
2020,20I6.1R10,I06,MCB-U,15,WHB,1,136,33
2020,20I6.1R10,I06,MCB-U,15,SCP,1,551,1987
2020,20I6.1R10,I06,MCB-U,15,GZS,38,20,
2020,20I6.1R10,I06,MCB-U,15,EMS,5,20,
2020,20I6.1R06,I06,MCB-U,15,SAR,1,395,452
2020,20I6.1R06,I06,MCB-U,15,SAR,1,239,92
2020,20I6.1R06,I06,MCB-U,15,SAR,1,234,79
2020,20I6.1R06,I06,MCB-U,15,BLG,1,80,
2020,20I6.1R06,I06,MCB-U,15,WHB,1,90,
2020,20I6.1R06,I06,MCB-U,15,FRD,1,345,501
2020,20I6.1R06,I06,MCB-U,15,SKH,3,40,
2020,20I6.1R06,I06,MCB-U,15,SKH,1,50,
2020,20I6.1R06,I06,MCB-U,15,EMS,1,80,
2020,20I6.1R06,I06,MCB-U,15,EMS,6,40,
2020,20I6.1R06,I06,MCB-U,15,EMS,1,60,
2020,20I6.1R06,I06,MCB-U,15,SCP,1,564,2044
2020,20I6.1R06,I06,MCB-U,15,SCP,1,532,1512
2020,20I6.1R06,I06,MCB-U,15,SCP,1,519,1398
2020,20I6.1R06,I06,MCB-U,15,GZS,1,70,
2020,20I6.1R06,I06,MCB-U,15,GZS,21,60,
2020,20I6.1R06,I06,MCB-U,15,GZS,85,50,
2020,20I6.1R06,I06,MCB-U,15,GZS,49,40,
2020,20I6.1R06,I06,MCB-U,15,GZS,1,30,
2020,20I6.1R06,I06,MCB-U,15,WHB,1,60,
2020,20I6.1R06,I06,MCB-U,15,RVS,5,40,
2020,20I6.1R06,I06,MCB-U,15,RVS,4,50,
2020,20I6.1R06,I06,MCB-U,15,RVS,6,60,
2020,20I6.1R06,I06,MCB-U,15,BLS,1,40,
2020,20I6.1R06,I06,MCB-U,15,SPS,2,30,
2020,20I6.1R06,I06,MCB-U,15,EMS,20,20,
2020,20I6.1R06,I06,MCB-U,15,EMS,180,30,
2020,20I6.1R06,I06,MCB-U,15,EMS,12,40,
2020,20I6.1R06,I06,MCB-U,15,EMS,5,60,
2020,20I6.1R06,I06,MCB-U,15,EMS,1,70,
2020,20I6.1R18,I06,MCB-U,15,CCF,1,572,2110
2020,20I6.1R18,I06,MCB-U,15,SAR,1,217,75
2020,20I6.1R18,I06,MCB-U,15,SHR,1,282,254
2020,20I6.1R18,I06,MCB-U,15,CCF,1,411,699
2020,20I6.1R18,I06,MCB-U,15,CCF,1,405,563
2020,20I6.1R18,I06,MCB-U,15,GZS,1,167,
2020,20I6.1R18,I06,MCB-U,15,GZS,1,148,
2020,20I6.1R18,I06,MCB-U,15,RVC,1,399,939
2020,20I6.1R18,I06,MCB-U,15,BLG,1,168,105
2020,20I6.1R18,I06,MCB-U,15,BUM,1,70,
2020,20I6.1R18,I06,MCB-U,15,RVC,1,455,1286
2020,20I6.1R18,I06,MCB-U,15,CAP,1,441,1196
2020,20I6.1R18,I06,MCB-U,15,CCF,1,531,1969
2020,20I6.1R18,I06,MCB-U,15,SAR,1,422,586
2020,20I6.1R18,I06,MCB-U,15,SHR,1,297,275
2020,20I6.1R18,I06,MCB-U,15,CCF,1,582,2072
2020,20I6.1R18,I06,MCB-U,15,CCF,1,501,1405
2020,20I6.1R18,I06,MCB-U,15,RVC,1,456,1309
2020,20I6.1R18,I06,MCB-U,15,RVC,1,480,1374
2020,20I6.1R18,I06,MCB-U,15,CAP,1,564,2319
2020,20I6.1R18,I06,MCB-U,15,CCF,1,291,223
2020,20I6.1R18,I06,MCB-U,15,WAE,1,237,115
2020,20I6.1R18,I06,MCB-U,15,BLG,1,125,46
2020,20I6.1R18,I06,MCB-U,15,BLG,1,150,71
2020,20I6.1R18,I06,MCB-U,15,GZS,1,138,
2020,20I6.1R18,I06,MCB-U,15,SAR,1,242,101
2020,20I6.1R18,I06,MCB-U,15,GSF,1,146,81
2020,20I6.1R18,I06,MCB-U,15,CCF,1,392,598
2020,20I6.1R18,I06,MCB-U,15,SMB,1,248,196
2020,20I6.1R18,I06,MCB-U,15,FCF,1,320,377
2020,20I6.1R18,I06,MCB-U,15,FCF,1,233,142
2020,20I6.1R18,I06,MCB-U,15,CAP,1,432,1115
2020,20I6.1R18,I06,MCB-U,15,FCF,1,289,266
2020,20I6.1R18,I06,MCB-U,15,FCF,1,230,125
2020,20I6.1R18,I06,MCB-U,15,FCF,1,207,93
2020,20I6.1R18,I06,MCB-U,15,CCF,1,441,746
2020,20I6.1R18,I06,MCB-U,15,SMB,1,263,239
2020,20I6.1R18,I06,MCB-U,15,BLG,1,121,45
2020,20I6.1R18,I06,MCB-U,15,GSF,1,121,34
2020,20I6.1R18,I06,MCB-U,15,SMB,1,80,
2020,20I6.1R18,I06,MCB-U,15,CCF,1,418,712
2020,20I6.1R18,I06,MCB-U,15,SMB,1,267,253
2020,20I6.1R18,I06,MCB-U,15,CAP,1,449,1293
2020,20I6.1R18,I06,MCB-U,15,SFS,1,60,
2020,20I6.1R18,I06,MCB-U,15,BUM,1,50,
2020,20I6.1R18,I06,MCB-U,15,BUM,1,60,
2020,20I6.1R18,I06,MCB-U,15,EMS,2,60,
2020,20I6.1R18,I06,MCB-U,15,SPS,1,70,
2020,20I6.1R18,I06,MCB-U,15,SHD,2,60,
2020,20I6.1R18,I06,MCB-U,15,SPS,1,20,
2020,20I6.1R18,I06,MCB-U,15,EMS,3,20,
2020,20I6.1R18,I06,MCB-U,15,GZS,1,20,
2020,20I6.1R18,I06,MCB-U,15,UCY,2,10,
2020,20I6.1R18,I06,MCB-U,15,GOS,1,20,
2020,20I6.1R04,I06,MCB-U,15,LMB,1,151,64
2020,20I6.1R04,I06,MCB-U,15,BLG,1,121,40
2020,20I6.1R04,I06,MCB-U,15,LMB,1,146,48
2020,20I6.1R04,I06,MCB-U,15,SAB,1,176,83
2020,20I6.1R04,I06,MCB-U,15,LMB,1,152,52
2020,20I6.1R04,I06,MCB-U,15,BLG,1,90,
2020,20I6.1R04,I06,MCB-U,15,RVC,1,385,708
2020,20I6.1R04,I06,MCB-U,15,LMB,1,179,85
2020,20I6.1R04,I06,MCB-U,15,SAB,1,136,34
2020,20I6.1R04,I06,MCB-U,15,LMB,1,159,57
2020,20I6.1R04,I06,MCB-U,15,RVC,1,451,1231
2020,20I6.1R04,I06,MCB-U,15,LMB,1,192,100
2020,20I6.1R04,I06,MCB-U,15,SUM,1,90,
2020,20I6.1R04,I06,MCB-U,15,EMS,4,70,
2020,20I6.1R04,I06,MCB-U,15,EMS,1,80,
2020,20I6.1R04,I06,MCB-U,15,GZS,16,60,
2020,20I6.1R04,I06,MCB-U,15,GZS,29,40,
2020,20I6.1R04,I06,MCB-U,15,GZS,23,50,
2020,20I6.1R04,I06,MCB-U,15,GZS,1,30,
2020,20I6.1R04,I06,MCB-U,15,WHB,1,70,
2020,20I6.1R04,I06,MCB-U,15,WHB,1,90,
2020,20I6.1R04,I06,MCB-U,15,SFS,1,40,
2020,20I6.1R04,I06,MCB-U,15,SFS,4,50,
2020,20I6.1R04,I06,MCB-U,15,SFS,1,70,
2020,20I6.1R04,I06,MCB-U,15,SFS,1,60,
2020,20I6.1R04,I06,MCB-U,15,EMS,1,90,
2020,20I6.1R04,I06,MCB-U,15,BLG,1,113,25
2020,20I6.1R04,I06,MCB-U,15,SCP,1,70,
2020,20I6.1R04,I06,MCB-U,15,GZS,1,70,
2020,20I6.1R04,I06,MCB-U,15,WHB,1,60,
2020,20I6.1R04,I06,MCB-U,15,LOP,2,40,
2020,20I6.1R04,I06,MCB-U,15,SPS,9,40,
2020,20I6.1R04,I06,MCB-U,15,SPS,11,30,
2020,20I6.1R04,I06,MCB-U,15,EMS,1,50,
2020,20I6.1R04,I06,MCB-U,15,EMS,10,30,
2020,20I6.1R04,I06,MCB-U,15,EMS,1,60,
2020,20I6.1R04,I06,MCB-U,15,EMS,2,40,
2020,20I6.1R04,I06,MCB-U,15,EMS,1,20,
2020,20I6.1R04,I06,MCB-U,15,BUF,2,40,
2020,20I6.1R04,I06,MCB-U,15,BLG,1,20,
2020,20I6.1R04,I06,MCB-U,15,SFS,2,50,
2020,20I6.1R04,I06,MCB-U,15,SFS,2,40,
2020,20I6.1R04,I06,MCB-U,15,SAS,1,20,
2020,20I6.1R04,I06,MCB-U,15,SPS,3,40,
2020,20I6.1R04,I06,MCB-U,15,EMS,19,30,
2020,20I6.1R04,I06,MCB-U,15,EMS,3,40,
2020,20I6.1R15,I06,MCB-U,15,RVC,1,414,986
2020,20I6.1R15,I06,MCB-U,15,BLC,1,130,30
2020,20I6.1R15,I06,MCB-U,15,SFS,2,60,
2020,20I6.1R15,I06,MCB-U,15,SHG,1,441,316
2020,20I6.1R15,I06,MCB-U,15,SHG,1,508,427
2020,20I6.1R15,I06,MCB-U,15,CCF,1,403,655
2020,20I6.1R15,I06,MCB-U,15,FRD,1,317,385
2020,20I6.1R15,I06,MCB-U,15,CCF,1,483,1116
2020,20I6.1R15,I06,MCB-U,15,BLG,1,168,120
2020,20I6.1R15,I06,MCB-U,15,FRD,1,213,129
2020,20I6.1R15,I06,MCB-U,15,SAR,1,257,131
2020,20I6.1R15,I06,MCB-U,15,RVC,1,402,907
2020,20I6.1R15,I06,MCB-U,15,GOR,1,230,142
2020,20I6.1R15,I06,MCB-U,15,FRD,1,215,135
2020,20I6.1R15,I06,MCB-U,15,SAR,1,210,70
2020,20I6.1R15,I06,MCB-U,15,SAR,1,242,109
2020,20I6.1R15,I06,MCB-U,15,ORS,1,60,
2020,20I6.1R15,I06,MCB-U,15,SHR,1,442,884
2020,20I6.1R15,I06,MCB-U,15,BUM,1,40,
2020,20I6.1R15,I06,MCB-U,15,BUM,3,50,
2020,20I6.1R15,I06,MCB-U,15,BUM,2,60,
2020,20I6.1R15,I06,MCB-U,15,EMS,1,50,
2020,20I6.1R15,I06,MCB-U,15,EMS,1,60,
2020,20I6.1R15,I06,MCB-U,15,EMS,2,40,
2020,20I6.1R15,I06,MCB-U,15,EMS,1,30,
2020,20I6.1R15,I06,MCB-U,15,RVS,1,40,
2020,20I6.1R15,I06,MCB-U,15,GZS,461,20,
2020,20I6.1R15,I06,MCB-U,15,LOP,1,40,
2020,20I6.1R15,I06,MCB-U,15,SPS,6,20,
2020,20I6.1R15,I06,MCB-U,15,WHB,1,40,
2020,20I6.1R15,I06,MCB-U,15,UCT,2,20,
2020,20I6.1R15,I06,MCB-U,15,MUD,1,30,
2020,20I6.1R15,I06,MCB-U,15,MUD,1,50,
2020,20I6.1R15,I06,MCB-U,15,MUD,1,20,
2020,20I6.1R12,I06,MCB-U,15,BLC,1,127,31
2020,20I6.1R12,I06,MCB-U,15,GZS,1,151,
2020,20I6.1R12,I06,MCB-U,15,BLG,1,80,
2020,20I6.1R12,I06,MCB-U,15,FRD,1,300,359
2020,20I6.1R12,I06,MCB-U,15,BUM,1,60,
2020,20I6.1R12,I06,MCB-U,15,EMS,2,60,
2020,20I6.1R12,I06,MCB-U,15,SAR,1,232,101
2020,20I6.1R12,I06,MCB-U,15,EMS,1,50,
2020,20I6.1R12,I06,MCB-U,15,SAR,1,231,100
2020,20I6.1R12,I06,MCB-U,15,CAP,1,207,129
2020,20I6.1R12,I06,MCB-U,15,BUM,2,40,
2020,20I6.1R12,I06,MCB-U,15,SUM,1,90,
2020,20I6.1R12,I06,MCB-U,15,WHB,1,20,
2020,20I6.1R12,I06,MCB-U,15,GZS,138,20,
2020,20I6.1R12,I06,MCB-U,15,EMS,16,20,
2020,20I6.1USI,I06,SCB,15,SAB,1,438,
2020,20I6.1USI,I06,SCB,15,LMB,1,342,691
2020,20I6.1USI,I06,SCB,15,SAB,1,432,1319
2020,20I6.1USI,I06,SCB,15,BLG,1,130,64
2020,20I6.1USI,I06,SCB,15,BLG,2,70,
2020,20I6.1USI,I06,SCB,15,SAB,1,428,1214
2020,20I6.1USI,I06,SCB,15,SAB,1,406,940
2020,20I6.1USI,I06,SCB,15,SAB,1,416,1091
2020,20I6.1USI,I06,SCB,15,SAB,1,384,890
2020,20I6.1USI,I06,SCB,15,SAB,1,490,1941
2020,20I6.1USI,I06,SCB,15,BLG,1,132,60
2020,20I6.1USI,I06,SCB,15,BLG,1,119,41
2020,20I6.1USI,I06,SCB,15,BLG,3,60,
2020,20I6.1USI,I06,SCB,15,CAP,1,555,2448
2020,20I6.1USI,I06,SCB,15,LMB,1,50,
2020,20I6.1USI,I06,SCB,15,GZS,4,40,
2020,20I6.1USI,I06,SCB,15,GZS,1,60,
2020,20I6.1USI,I06,SCB,15,SAB,1,495,1944
2020,20I6.1USI,I06,SCB,15,SAB,1,315,496
2020,20I6.1USI,I06,SCB,15,EMS,1,80,
2020,20I6.1USI,I06,SCB,15,EMS,1,70,
2020,20I6.1USI,I06,SCB,15,WHB,1,352,556
2020,20I6.1USI,I06,SCB,15,LMB,1,184,99
2020,20I6.1USI,I06,SCB,15,SFS,2,70,
